210709_132533
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=1
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=1
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=2
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=2
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=3
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=3
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=10
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=10
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=10
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=11
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=11
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=11
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=12
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=12
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=12
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=13
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=13
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=13
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=14
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=14
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=14
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=15
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=15
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=15
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=16
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=16
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=16
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=17
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=17
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=17
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=18
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=18
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=18
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=19
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=19
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=19
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=20
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=20
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=20
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=21
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=21
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=21
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=5, cdp=6, point=22
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=5, cdp=7, point=22
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=5, cdp=4, point=22
Experiment finished at 210709_162914
